issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
44238.0,1cf48618dee807d3b93ac54f53dc76632e14c892,public/app/features/alerting/unified/api/alertmanager.ts,92b33d6528d0a6e5a57e1c063ad542dd55d14d7a,SZZ-lite file-level parent mapping only
44238.0,1cf48618dee807d3b93ac54f53dc76632e14c892,public/app/features/alerting/unified/state/actions.ts,92b33d6528d0a6e5a57e1c063ad542dd55d14d7a,SZZ-lite file-level parent mapping only
44238.0,1cf48618dee807d3b93ac54f53dc76632e14c892,public/app/features/alerting/unified/utils/alertmanager.ts,92b33d6528d0a6e5a57e1c063ad542dd55d14d7a,SZZ-lite file-level parent mapping only
44238.0,1cf48618dee807d3b93ac54f53dc76632e14c892,public/app/features/alerting/unified/utils/redux.ts,92b33d6528d0a6e5a57e1c063ad542dd55d14d7a,SZZ-lite file-level parent mapping only
44238.0,1cf48618dee807d3b93ac54f53dc76632e14c892,public/app/plugins/datasource/alertmanager/types.ts,92b33d6528d0a6e5a57e1c063ad542dd55d14d7a,SZZ-lite file-level parent mapping only
44243.0,8e035412285ccf65c9592c58bf6829dab7aaae84,pkg/services/provisioning/datasources/config_reader.go,b615d0558b463bd84a8bb20aad5c1bd22c0a725e,SZZ-lite file-level parent mapping only
44243.0,8e035412285ccf65c9592c58bf6829dab7aaae84,pkg/services/provisioning/datasources/config_reader_test.go,b615d0558b463bd84a8bb20aad5c1bd22c0a725e,SZZ-lite file-level parent mapping only
44243.0,8e035412285ccf65c9592c58bf6829dab7aaae84,pkg/services/provisioning/datasources/testdata/delete-one/one-datasource.yaml,b615d0558b463bd84a8bb20aad5c1bd22c0a725e,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/api/datasources.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/api/datasources_test.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/api/http_server.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/api/pluginproxy/ds_proxy.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/api/pluginproxy/ds_proxy_test.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/server/wire.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/server/wireexts_oss.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasourceproxy/datasourceproxy.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasources/datasources.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasources/log.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasources/service/cache_service.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasources/service/datasource_service.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/services/datasources/service/datasource_service_test.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/tsdb/legacydata/service/service.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45273.0,6a776c78d40d49e0de151939a72d9eb9bb6ae2e1,pkg/tsdb/legacydata/service/service_test.go,334ee9c4a744a316ec94ae43c540f02f851f784b,SZZ-lite file-level parent mapping only
45378.0,1886a59a12a64878d270676cddfa7d1dbf230318,public/app/features/alerting/unified/components/amroutes/AmRoutesTable.test.ts,612a51034c7a1b03620dca24d769692a9117a8c8,SZZ-lite file-level parent mapping only
45378.0,1886a59a12a64878d270676cddfa7d1dbf230318,public/app/features/alerting/unified/components/amroutes/AmRoutesTable.tsx,612a51034c7a1b03620dca24d769692a9117a8c8,SZZ-lite file-level parent mapping only
45491.0,dac2b7ef73dcb956c0881677e8764363210c73da,public/app/plugins/datasource/cloudwatch/datasource.ts,42d21e1af5c5e0b79a68642136b95145e434e5fd,SZZ-lite file-level parent mapping only
45491.0,dac2b7ef73dcb956c0881677e8764363210c73da,public/app/plugins/datasource/cloudwatch/specs/datasource.test.ts,42d21e1af5c5e0b79a68642136b95145e434e5fd,SZZ-lite file-level parent mapping only
45489.0,85753afdf038322c5605555bf9e4e3b475e3d567,public/app/plugins/datasource/cloudwatch/components/MathExpressionQueryField.tsx,fcd85951a7a6eaa2cd1922cbdfe08b98ee1e3f52,SZZ-lite file-level parent mapping only
45833.0,b7a2fda2aeb495a92a24df70df00df9adada7d0b,public/app/plugins/datasource/grafana-azure-monitor-datasource/azure_log_analytics/azure_log_analytics_datasource.test.ts,64ad33f31a94b2aca9e705d3f2b6c6c0f6885d0e,SZZ-lite file-level parent mapping only
45833.0,b7a2fda2aeb495a92a24df70df00df9adada7d0b,public/app/plugins/datasource/grafana-azure-monitor-datasource/azure_log_analytics/azure_log_analytics_datasource.ts,64ad33f31a94b2aca9e705d3f2b6c6c0f6885d0e,SZZ-lite file-level parent mapping only
45746.0,dcd98f7819f3af14ef5233e484ffbc10e2b0364c,packages/grafana-data/src/utils/logs.ts,feae959c9da12885fc79786d57d7c415595c260a,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,pkg/services/alerting/notifier.go,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,pkg/services/ngalert/notifier/available_channels.go,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/features/alerting/components/NotificationChannelForm.tsx,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/features/alerting/state/reducers.test.ts,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/features/alerting/unified/components/receivers/form/fields/OptionField.tsx,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/features/alerting/unified/mocks/grafana-notifiers.ts,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/features/alerting/unified/utils/cloud-alertmanager-notifier-types.ts,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44414.0,4ef58e595c1ec60f07da9f9336745456a4e5d55a,public/app/types/alerting.ts,a68a570e921258de735cb60feb863c2087efb23d,SZZ-lite file-level parent mapping only
44733.0,1df040eb23e4ee3daa541d048ccd9ed75f718d83,public/app/plugins/datasource/cloudwatch/__mocks__/CloudWatchDataSource.ts,1b2c4dca61648fb65345df329d51b1deaac7a41d,SZZ-lite file-level parent mapping only
44733.0,1df040eb23e4ee3daa541d048ccd9ed75f718d83,public/app/plugins/datasource/cloudwatch/components/QueryHeader.tsx,1b2c4dca61648fb65345df329d51b1deaac7a41d,SZZ-lite file-level parent mapping only
