tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v10.1.4,10.1.4 (2023-09-29),2023-09-29 20:09:54+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.4,False,False
v9.5.12,9.5.12 (2023-09-29),2023-09-29 20:25:08+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.12,False,False
v10.0.8,10.0.8 (2023-09-29),2023-09-29 20:30:50+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.8,False,False
v9.4.17,9.4.17 (2023-10-11),2023-10-12 09:41:57+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.17,False,False
v9.5.13,9.5.13 (2023-10-11),2023-10-12 10:53:55+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.13,False,False
v10.0.9,10.0.9 (2023-10-11),2023-10-12 11:18:44+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.9,False,False
v10.1.5,10.1.5 (2023-10-11),2023-10-12 12:19:34+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.5,False,False
v10.2.0,10.2.0 (2023-10-24),2023-10-24 14:35:37+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.0,False,False
v10.2.1,10.2.1 (2023-11-14),2023-11-14 17:20:40+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.1,False,False
v9.5.14,9.5.14 (2023-11-14),2023-11-14 17:38:02+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.14,False,False
v10.2.2,10.2.2 (2023-11-20),2023-11-21 09:46:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.2,False,False
v10.2.3,10.2.3 (2023-12-18),2023-12-19 12:26:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.3,False,False
v10.1.6,10.1.6 (2023-12-18),2023-12-19 16:50:35+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.6,False,False
v9.5.15,9.5.15 (2023-12-18),2023-12-19 16:53:49+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.15,False,False
v10.0.10,10.0.10 (2023-12-18),2023-12-19 16:54:24+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.10,False,False
v10.3.0,10.3.0 (2024-01-22),2024-01-23 15:55:49+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.0,False,False
v10.3.1,10.3.1 (2024-01-22),2024-01-23 15:57:41+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.1,False,False
v9.5.16,9.5.16 (2024-01-29),2024-02-13 19:02:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.16,False,False
v10.0.11,10.0.11 (2024-01-29),2024-02-13 20:12:57+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.11,False,False
v10.3.3,10.3.3 (2024-02-02),2024-02-13 22:13:28+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.3,False,False
v10.1.7,10.1.7 (2024-01-29),2024-02-13 22:48:21+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.7,False,False
v10.2.4,10.2.4 (2024-01-29),2024-02-14 10:38:39+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.4,False,False
v10.4.0,10.4.0 (2024-03-06),2024-03-06 15:20:17+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.0,False,False
v10.3.4,10.3.4 (2024-03-06),2024-03-06 15:46:54+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.4,False,False
v10.2.5,10.2.5 (2024-03-06),2024-03-06 16:00:51+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.5,False,False
v10.1.8,10.1.8 (2024-03-06),2024-03-06 16:27:11+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.8,False,False
v10.0.12,10.0.12 (2024-03-06),2024-03-06 16:36:50+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.12,False,False
v9.5.17,9.5.17 (2024-03-05),2024-03-06 16:44:17+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.17,False,False
v10.4.1,10.4.1 (2024-03-20),2024-03-21 16:20:20+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.1,False,False
v10.3.5,10.3.5 (2024-03-20),2024-03-21 16:33:30+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.5,False,False
v9.5.18,9.5.18 (2024-03-25),2024-03-26 13:02:06+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.18,False,False
v10.0.13,10.0.13 (2024-03-25),2024-03-26 13:20:43+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.13,False,False
v10.1.9,10.1.9 (2024-03-25),2024-03-26 13:47:13+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.9,False,False
v10.2.6,10.2.6 (2024-03-25),2024-03-26 14:14:41+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.6,False,False
v11.0.0-preview,11.0.0-preview (2024-04-08),2024-04-08 11:00:06+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.0-preview,False,False
v10.4.2,10.4.2 (2024-04-10),2024-04-11 19:42:33+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.2,False,False
v11.0.0,11.0.0 (2024-05-14),2024-05-14 09:16:18+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.0,False,False
v10.3.6,10.3.6 (2024-05-13),2024-05-14 15:07:34+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.6,False,False
v10.4.3,10.4.3 (2024-05-13),2024-05-14 15:30:52+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.3,False,False
v10.2.7,10.2.7 (2024-05-13),2024-05-14 19:43:01+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.7,False,False
v10.1.10,10.1.10 (2024-05-13),2024-05-14 22:56:24+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.10,False,False
v9.5.19,9.5.19 (2024-05-13),2024-05-14 22:59:13+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.19,False,False
v10.4.4,10.4.4 (2024-06-13),2024-06-13 15:20:35+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.4,False,False
v11.1.0,11.1.0 (2024-06-21),2024-06-25 10:59:04+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.1.0,False,False
v11.0.1,11.0.1 (2024-06-21),2024-06-25 12:37:38+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.1,False,False
v10.4.5,10.4.5 (2024-06-21),2024-06-25 12:42:05+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.4.5,False,False
v9.5.20,9.5.20 (2024-06-21),2024-06-25 20:52:04+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.20,False,False
v10.2.8,10.2.8 (2024-06-21),2024-06-25 20:54:56+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.2.8,False,False
v10.3.7,10.3.7 (2024-06-21),2024-06-25 21:42:50+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.3.7,False,False
v11.0.2,11.0.2 (2024-07-23),2024-07-26 00:44:05+00:00,main,https://github.com/grafana/grafana/releases/tag/v11.0.2,False,False
