repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,recovery_time_days_mean,280.33331222766884,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,recovery_time_days_mean,360.917585978836,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,recovery_time_days_mean,417.01546585648146,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,recovery_time_days_mean,350.06858972849966,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,recovery_time_days_median,17.660717592592594,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,recovery_time_days_median,27.77974537037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-10,recovery_time_days_median,30.802939814814813,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,recovery_time_days_median,38.10464120370371,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,recovery_time_days_median,19.857916666666668,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,recovery_time_days_median,48.57252314814815,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,recovery_time_days_median,16.43353587962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-04,recovery_time_days_median,28.111226851851853,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,recovery_time_days_median,10.924386574074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,recovery_time_days_median,28.79728587962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,recovery_time_days_median,12.867690972222222,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,recovery_time_days_median,11.018287037037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,recovery_time_days_median,25.033483796296295,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,recovery_time_days_median,12.704143518518519,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,recovery_time_days_median,16.230538194444446,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,recovery_time_days_median,115.66222222222223,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,recovery_time_days_median,12.861631944444444,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,recovery_time_days_median,22.60769675925926,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,recovery_time_days_median,48.689930555555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,recovery_time_days_median,152.8011747685185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,recovery_time_days_median,43.44878472222222,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,recovery_time_days_median,28.33700810185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,recovery_time_days_median,198.23125578703704,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,recovery_time_days_median,25.937158564814816,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,recovery_time_days_median,106.5970775462963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,recovery_time_days_median,9.915810185185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-12,recovery_time_days_median,99.56168981481481,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,recovery_time_days_median,128.51335648148148,
